old	new
SLVAB721034_InSedAlveolata_Alveolata	SLVAB721034_Perkinsidae_Alveolata
SLVAY196708_Apicomplexa_Alveolata	SLVAY196708_InSedAlveolata_Alveolata
BLN1176_InSedEukaryota_OtherEukaryota	BLN1176_Apicomplexa_Alveolata
BLN1177_InSedAlveolata_Alveolata	BLN1177_Perkinsidae_Alveolata
BLN1258_BasalFungi_Opisthokonta	BLN1258_Rozellomycota_Opisthokonta
BLN1390_BasalFungi_Opisthokonta	BLN1390_Chytridiomycota_Opisthokonta
BLN1494_BasalFungi_Opisthokonta	BLN1494_Rozellomycota_Opisthokonta
BLN20866_InSedAlveolata_Alveolata	BLN20866_Perkinsidae_Alveolata
BLN2149_BasalFungi_Opisthokonta	BLN2149_Rozellomycota_Opisthokonta
BLN2371_BasalFungi_Opisthokonta	BLN2371_Rozellomycota_Opisthokonta
BLN2475_InSedOpisthokonta_Opisthokonta	BLN2475_InSedEukaryota_OtherEukaryota
BLN2485_InSedOpisthokonta_Opisthokonta	BLN2485_InSedEukaryota_OtherEukaryota
BLN2536_InSedAlveolata_Alveolata	BLN2536_Perkinsidae_Alveolata
BLN2851_InSedAlveolata_Alveolata	BLN2851_Perkinsidae_Alveolata
BLN2859_InSedEukaryota_OtherEukaryota	BLN2859_Apicomplexa_Alveolata
BLN2892_InSedAlveolata_Alveolata	BLN2892_Perkinsidae_Alveolata
BLN2928_BasalFungi_Opisthokonta	BLN2928_Rozellomycota_Opisthokonta
BLN3163_InSedOpisthokonta_Opisthokonta	BLN3163_InSedEukaryota_OtherEukaryota
BLN3260_InSedAlveolata_Alveolata	BLN3260_Perkinsidae_Alveolata
BLN3508_InSedAlveolata_Alveolata	BLN3508_Perkinsidae_Alveolata
BLN3614_InSedAlveolata_Alveolata	BLN3614_Perkinsidae_Alveolata
BLN3638_InSedAlveolata_Alveolata	BLN3638_Perkinsidae_Alveolata
BLN3690_InSedAlveolata_Alveolata	BLN3690_Perkinsidae_Alveolata
BLN3755_BasalFungi_Opisthokonta	BLN3755_Rozellomycota_Opisthokonta
BLN3915_BasalFungi_Opisthokonta	BLN3915_Rozellomycota_Opisthokonta
BLN4363_InSedAlveolata_Alveolata	BLN4363_Perkinsidae_Alveolata
BLN4722_BasalFungi_Opisthokonta	BLN4722_Rozellomycota_Opisthokonta
BLN4841_InSedEukaryota_OtherEukaryota	BLN4841_InSedDiscoba_Discoba
BLN4926_InSedAlveolata_Alveolata	BLN4926_Perkinsidae_Alveolata
BLN5510_BasalFungi_Opisthokonta	BLN5510_Rozellomycota_Opisthokonta
BLN5661_InSedAlveolata_Alveolata	BLN5661_Perkinsidae_Alveolata
BLN576_BasalFungi_Opisthokonta	BLN576_Chytridiomycota_Opisthokonta
BLN5770_InSedOpisthokonta_Opisthokonta	BLN5770_InSedEukaryota_OtherEukaryota
BLN5991_BasalFungi_Opisthokonta	BLN5991_Rozellomycota_Opisthokonta
BLN6244_InSedAlveolata_Alveolata	BLN6244_Perkinsidae_Alveolata
BLN6595_InSedOpisthokonta_Opisthokonta	BLN6595_Rotosphaerida_Opisthokonta
BLN6825_InSedAlveolata_Alveolata	BLN6825_Perkinsidae_Alveolata
BLN7016_BasalFungi_Opisthokonta	BLN7016_Chytridiomycota_Opisthokonta
BLN7251_InSedAlveolata_Alveolata	BLN7251_Perkinsidae_Alveolata
BLN747_InSedAlveolata_Alveolata	BLN747_Perkinsidae_Alveolata
BLN7663_InSedAlveolata_Alveolata	BLN7663_Perkinsidae_Alveolata
BLN7705_InSedEukaryota_OtherEukaryota	BLN7705_Apicomplexa_Alveolata
BLN7964_BasalFungi_Opisthokonta	BLN7964_Rozellomycota_Opisthokonta
